index,text,true_label,pred_label,error_type,language,error_category
201,MAI YA RAGE AN MARI IYAMURI AN KUMA CE SAI ANCI UBAN SHI,Normal,Hate,FP,Hausa,
608,"Ku fudda ran hukuncin kisa indai a wannan kasar ne ta yaran yahudawa, su gama Nasu, mu kuma mu kashe shi kawai a duk inda mukayi ido hudu dashi wannan shine sakamakon sa, a wajan dukkan musulmi.",Normal,Hate,FP,Hausa,
902,"Bamu taba ji Fulani sunyi kira ga Yan uwan su Yan ta,adda ba yan uwanku suna kashe hausawa Kuma kuna cewa ku Yan uwan mune sedai muce muku Allah ya isa",Normal,Hate,FP,Hausa,
58,Masallasci ko shopping complex domin wallashi malaman izalah wurin kasuwancine mekyau awurinsu sukuma mabiyansu makafine ...... Allah katsaremu da gubar izala .....,Hate,Normal,FN,Hausa,
66,yan kutumar uban inyamuranan suzo suyita zagin yan arewa matsiyata kuma suzo suna satar yaran hausawa sunamaidasu inyamurai christian why? haba allah ya isa mutanen sunfi jews kafurci ##url,Hate,Normal,FN,Hausa,
78,"and wickedness, ko arne albarka ##url",Hate,Normal,FN,Hausa,
82,"Ina ma ace matan Nigeria suyi koyi da ita, subar karuwanci",Hate,Normal,FN,Hausa,
89,@username shiyasa bana cewa komai ai arne baida hankali kwata kwata,Hate,Normal,FN,Hausa,
150,Hegu yan wahala ae su hatred a jinin igbo yaje,Hate,Normal,FN,Hausa,
173,Ana cin uwar iyamurai,Hate,Normal,FN,Hausa,
218,@username ai hausawa majority gidadawa ne,Hate,Normal,FN,Hausa,
233,kashe su! arna ne. 😂😂 ##url,Hate,Normal,FN,Hausa,
235,kasan southerners dinnan dolaye ne oga 😂😂 ##url,Hate,Normal,FN,Hausa,
239,"ikon allah, wato babu dabba a duniya erin bature. cikin matar tasa ma bai bari ba🤣🤣🤣🤣 ##url",Hate,Normal,FN,Hausa,
266,shifa inyamuri a jinin sa ne cuta🤣 ##url,Hate,Normal,FN,Hausa,
276,yawan ci fa matan hausa wan mun nan fa yan kauye ne dan soyayyan ma basu iya ba. badama kace wan ba haushiya i love❤️ u tace maka i 😍love u too sai da na gode🙏🏻 abun nan ci min tai yake yi sosai wlh 🤐🤨,Hate,Normal,FN,Hausa,
296,"@username president been from your state, how has it impact you and your other almajiri brothers and sisters?. y'all think it's about ethnicity or tribes or religion while your region stinks in poverty. check the poorest tribes in nigeria online all northern regions occupy 1st–4th position",Hate,Normal,FN,Hausa,
300,cin kilishin baƙin kare sai arna #karinmagana,Hate,Normal,FN,Hausa,
349,@username arna iyayen son banza. ni ai za ai wa giveaway ba ni yakamta na yi ba,Hate,Normal,FN,Hausa,
416,"Na all dis kinda talk the provoke me I swear mtswww,wlhi kafurai basuyi bane arayuwa shegu yan gaba da gabas",Hate,Normal,FN,Hausa,
480,@username yan faira dinnan tsinannu ne dama,Hate,Normal,FN,Hausa,
490,"Muhammad Muhammad ai komu bamuce dukan filani ba, amma mafi yawansu yanta'ada ne..",Hate,Normal,FN,Hausa,
502,“@username : duk inda arne yake toh muna furci nanan”#fact,Hate,Normal,FN,Hausa,
507,Sai mun ci uwar wannan malamin izalar da in ya yiwa mallam Abduljabbar qazafi,Hate,Normal,FN,Hausa,
532,"wannan aikin hanun yahudawa ne, zanso idan zan mutu a bani bayahude na shaqe mu mutu tare yadda ranan qiyama mu tashi tare na kai shi gaban allah nace: ya allah gashi na kawo. ##url",Hate,Normal,FN,Hausa,
688,"arna suna torturing azumin mu, yanzu musulman ma basu barmu ba",Hate,Normal,FN,Hausa,
706,inyamurai dole kuci uwarku shegu,Hate,Normal,FN,Hausa,
724,#almajiri city of kano. ##url,Hate,Normal,FN,Hausa,
