index,text,true_label,pred_label,error_type,language,error_category
39,"agwu kwa? enyim nwanyi bukwa onye ofe mmanu rt""@username : ndi ahu bu ndi agwu !! rt @username : gini mere ndi ofe mmanu?",Normal,Hate,FP,Igbo,
469,@username ikpu mama gi .. wack ofe mmanu musician. anu mpama,Normal,Hate,FP,Igbo,
819,@username chai nwaanyi ofe mmanu,Normal,Hate,FP,Igbo,
127,@username kitikpa gbagbuo gi na onu ahu iji akpo biafra.. shie abdulsamad rabiu of bua who was there is a biafran too?,Hate,Normal,FN,Igbo,
182,"jee jụọ nne gị aboki tụbara ya ime. maka o doro m anya nọ ugwu ka isi. i chọọ ka m gee gị ntị, sụọ igbo. ifere emechi. i na azọ ala igbo ị maghị asụsụ ha asụ. ọ iji asụsụ igbo ree gị tọrọ na eke twitter were ego ṅụọ hero beer gaa iru. ụchụ!! ##url",Hate,Normal,FN,Igbo,
268,"@username ụmụ agwọ, imo state",Hate,Normal,FN,Igbo,
288,yoruba nation ndi ofe nmanu ndi akpiri ego... soon they will abandon the agitation,Hate,Normal,FN,Igbo,
306,@username kenny is definitely a goat.. ewu mpama ewu hausa ewu congo.. ikwikwi,Hate,Normal,FN,Igbo,
349,@username nwannem biko kwuwe okwu ka ogba aghara na ada ha n'isi . ebe obula osoro gi noro ihe anyi ma wu shi biafra ga ala riri ma ha ochoro ya ma ha achoghi ya ! hapugodu ndi ugwu ara ndia no ebea na agbo ka nkita ara,Hate,Normal,FN,Igbo,
367,"@username u be werey, that ifo local government na ogun state.. ewu",Hate,Normal,FN,Igbo,
403,"ha abughi mmadu maoli...""@username : and they have degree for cursing!!! ndi ara,ofe mmanu""",Hate,Normal,FN,Igbo,
425,"@username hapu ewu ahu. ochoro igwa anyi ihe anyi ga eme. amakwam na obu onye ""ofe mmanu""",Hate,Normal,FN,Igbo,
450,@username ewu sabo ndi ugwu ...ego ole ka inyerela odogwu mazi ike nnamdi kanu òzòpùtara igbo n'ònya?? ihere meegbuo gi onye iberibe agadi ekwe nkà ... įnòrò ebe ahu ndi aboki na amagi ihe na agùhi akwùkwò were ndi igbo na eti epele ... sabo nti ike ò kwa ùmù nwanne gi gaa akùgi mkpòri.,Hate,Normal,FN,Igbo,
554,@username ọnụ ọjọọ ndị anambra sha😢,Hate,Normal,FN,Igbo,
580,@username kitikpa gbagbuo gi na onu ahu iji akpo biafra.. shie abdulsamad rabiu of bua who was there is a biafran too?,Hate,Normal,FN,Igbo,
587,@username that's the narratives the onye iberibe (@username ) has been selling to those atụrụ in aso rock.,Hate,Normal,FN,Igbo,
750,@username 🤣🤣🤣 igbo mothers na ọnụ ọjọọ. my mum say na ọzọdịmgba🤣,Hate,Normal,FN,Igbo,
788,@username enyiaa kedu ka e ga esi ekwu okwu ahu ka onye iberibe ... how can you say his beautiful relationship will “ end in tears “ . that’s a joke to the extreme even if it was . mee ka nwa afo igbo azuru azu emezila ka ndi ugwu 👍,Hate,Normal,FN,Igbo,
