index,text,true_label,pred_label,error_type,language,error_category
7,ọoa ta lẹ rí tó lọ sọ́run bọ̀ rí tó dé tó ní báyìí ni wọ́n ń ṣe lọ́run kò sí ṣé a rí ẹni tó lọ tó dé rí tó ní òun kò rí ọ̀run wọ̀ ẹ máà jẹ́ ká tanra wa jẹ nígbà tí kò ti síyẹn èmi ò gba gbogbo èyí táwọn ẹlẹ́sìn méjèèjì ń ṣe yẹn gbọ́ rárá,Hate,Normal,FN,Yorùbá,
25,báyìí ni àfọ̀njáláyà ṣe fi ọwọ́ fa wàhálà sílẹ̀ yoòbá itanfulani darandaran yoruba,Hate,Normal,FN,Yorùbá,
36,kẹ́ni ibi bàsèjẹ́ obì tíí so lẹ́ẹ̀rùn arab àtọmọ ìyá ẹ̀ láti europe ó tó dé ìrẹ́pọ̀ ni baba àdáṣe jìnà,Hate,Normal,FN,Yorùbá,
47,"""radarada! so, you want to be terrorising me in my state, ori ẹyin fúlàní yìí má ti dàrú o ##url",Hate,Normal,FN,Yorùbá,
49,"""@username oloriburuku ni pupo ninu awon igbo yii""",Hate,Normal,FN,Yorùbá,
55,nígbà tí ó máa fi di ọdúnilé ọlá ti di ahoro àwọn ọ̀daràn ẹyẹ tí í musàn fúlàní ti fi ogun tú ọ̀yọ́ilé àwọn èèyàn wa ń sá àsálà fún ẹ̀mí wọn lọ sí ìlú òdìkejì bí ifẹ̀ itanfulani darandaran yoruba,Hate,Normal,FN,Yorùbá,
78,"""@username by the way @username this is taiwo doing a bit of reminder for the poor man. 🤣🤣🤣. obirin buru gan.""",Hate,Normal,FN,Yorùbá,
84,"""11:11: orí ẹ̀yin tó layé ti dàrú.""",Hate,Normal,FN,Yorùbá,
98,ìdíje àwọn abirùn,Hate,Normal,FN,Yorùbá,
106,"""tí àlàrò bàní kò dà fun liverpool àlàlè à sò wipé no 😭😭.. eleribu team ##url",Hate,Normal,FN,Yorùbá,
110,"""oloriburuku lawon chinese yi, na rats and lizards dem dey swallow like pap. awon oloshi..""",Hate,Normal,FN,Yorùbá,
111,"""iwa radarada wa lowo eyin omo abeokuta yii sha...kemi ma n fi sugar perboil noodles ,otun fii kahun fry eyin fun mi maa ni🤦‍♀️""",Hate,Normal,FN,Yorùbá,
113,"Sha werey ni Bobo yi ni, address us in Yoruba you cannot fit Omo werey IBOP . Your papa no fit be governor Aje",Hate,Normal,FN,Yorùbá,
124,ẹran oníwo bá ń yọjú ṣé bíi ti ìgbín wá ni kí ìjẹ̀bú ma ṣe àyà gbàǹgbà sí òwu débi wípé wọ́n ma ṣígun tì wọ̀ọ́n lọ́gán ni wọ́n rán àwọn ọmọ ogun láti lọ pa iná ogun tí ìjẹ̀bú ń dá lóko kí iná náà tó ràn dé ilé pẹ̀lú àdá lọ́wọ́ ni àwọn ọmọ ogun òwu,Hate,Normal,FN,Yorùbá,
125,ìfínràn ẹ̀gbá àti ìkòròdú ní ọdún tí ogun ìjàyè àti ẹ̀gbá ń ró bíi agogo àwọn ọmọ ogun ìjẹ̀bú gbà láti darapọ̀ mọ́ ẹ̀gbá láti kọjú ti ìjàyè ẹ̀gbá ráńṣẹ́ sí àwọn ará ìkòròdú fún ìdarapọ̀ mọ́ ọmọ ogun wọn àwọn ará ìkòròdú ba takú láti bá ẹ̀gbá pé,Hate,Normal,FN,Yorùbá,
128,bí o bá jẹ́ mùsùlùmí tàbí krìtẹ́nì jìnà sígbó réré máà sún mọ́ ipò ọba ẹ̀sìn yàtọ̀ sí ìṣẹ̀ṣe ìṣèṣe ni ọba ìṣèṣe ni àpèrè ọba ìṣẹ̀ṣe ladé orí ọba,Hate,Normal,FN,Yorùbá,
131,"""@username gbàdúrà koma sagbako omo ibo. oju anu lásán ni won nwa. won ko feran wa. ogun abele. abiola mko. awọn ni alatako wa. nigbaye jonathan ebele, ipo wo ni yorùbá wa nínú ìjọ wọn? to ba fi ile rent fún wọn, bi won se ma gbe ile rẹ lọwọ'e ni won ma wa. nollywood won, omo'yoba ..""",Hate,Normal,FN,Yorùbá,
133,"""@username ehyaaaa dirty hausa with brown teeth. hausas destroyed nigeria. go your back to your deserted lands filled with hunger and terrorism. oloriburuku omo ale jati jati eranko""",Hate,Normal,FN,Yorùbá,
136,"""@username define the pictures in your region. oloriburuku omo yanmirin gbajue ##url",Hate,Normal,FN,Yorùbá,
154,"""@username apc oyo ti lule already""",Hate,Normal,FN,Yorùbá,
157,kò sí àníàní ìlá òrò pélé mẹ́tamẹ́ta orí ẹ̀rẹ̀kẹ́ sudan jọ tìjẹ̀bú,Hate,Normal,FN,Yorùbá,
164,"""@username i do t see that as an apology to the miscreants. rather he's reiterating his stands on the purported issue. let the headless mobs cry blood everywhere, they will lule nooni lagbara olohun oba ada eda tio da awon alaironu mo awon ara nigeria. eko life ki ako larawon beenioo""",Hate,Normal,FN,Yorùbá,
167,"""@username ani olodo ni eyin hausa rederede yii🤦‍♂️🤦‍♂️""",Hate,Normal,FN,Yorùbá,
175,yunfa ló gba àwọn ọ̀darànmọràn fúlàní lálejò lókè ọya àfọ̀njá ló pè wọ́n wá sí ilẹ̀ káàárọ̀oòjíire àmọ́ báwo ló ṣe ṣẹlẹ̀ ganan,Hate,Normal,FN,Yorùbá,
176,à ń gé wọn níka wọ́n tún ń bọ òrùka kí la ó ti ṣe tàwọn bòròró tí ń dá ẹ̀mí ọmọ nàìjíríà légbodò yìí sí,Hate,Normal,FN,Yorùbá,
