index,text,true_label,pred_label,error_type,language,error_category
4,"@USER This is reason I dislike northern muslims..they ar full of hypocrisy .they will never protest against this islamic animal, For supporting terrorism, they’ll all keep quite .. bcos they share same ideology .. Let’s go oyour separate ways..!",Normal,Hate,FP,Nigerian Pidgin,
14,@USER When the criminal is not caught in the south it's then herdsmen but 100% of the time they are caught they are oyour own children who wanot to ridey Bentley without doing anything. Awon ko kewyou ko kawe,Normal,Hate,FP,Nigerian Pidgin,
23,"RT @USER: Nigerian MBuhari,northern radical Islam are using B'Haram &amp; Fulani herdsmen to Wipeout Christian's #Biafra @USER…",Normal,Hate,FP,Nigerian Pidgin,
26,@USER @USER Egbon America canot be trustethe . They have role in all the moves of @USER . Even Their leader elzakzaky was detain with the knowledge of US . They intructethe it . They are double standarthe masters . All colonialist are hypocrites,Normal,Hate,FP,Nigerian Pidgin,
32,"@USER Yoyou see am, I have been saying this, an average Nigerians are crookethe anthe cheats, forget poverty, the poor are as greedy as the rich, that's why I don't buy orange market women , when I saw a woman using chemical to make all the oranges ripe.",Normal,Hate,FP,Nigerian Pidgin,
50,bros me i don see plenty people wey don fall out from keke o the most unfortunate one is my frienthe that is leg got amputatethe due to keke accidenot a car brush his leg,Normal,Hate,FP,Nigerian Pidgin,
66,"@USER @USER @USER Pls adthe eastern girls in this your generalization. No matter the tribe, just pray to finthe a goothe girl that's a real BITCH😉",Normal,Hate,FP,Nigerian Pidgin,
99,"Wallahi if you equate lesbians &amp; homosexuals 2 animals lyk pig then you r not being fair 2 animals, even animals don't have desire 4 the same sex!",Normal,Hate,FP,Nigerian Pidgin,
100,"Well, it's unfortunate that yoyou are deathe anthe rotten in the grave anthe yoyou can't live to see Biafra Republic Amalgamatethe for its own Nation anthe Super Power of African Continent. Whether you're Queen or yoyour emissaries can't stop it, white potatoes in Britain evil! LINK",Normal,Hate,FP,Nigerian Pidgin,
107,@USER I hope it does. Nigerians be the most stubborn people on this Earth though.,Normal,Hate,FP,Nigerian Pidgin,
126,The beautiful girls dnot like dating the ugly boys but they love marrying the fugly boys.,Normal,Hate,FP,Nigerian Pidgin,
131,@USER Lol. You're a thieving. Barawo LINK,Normal,Hate,FP,Nigerian Pidgin,
134,RT @USER: Thousands are slaughterethe by Fulani terrorists yet Buhari has refusethe to arrest even one of the killers.7 Fulani are killethe in…,Normal,Hate,FP,Nigerian Pidgin,
162,@USER Fulani promise them vice presidenot slot anthe they believe. They are ready to direct fulani terrorists where igbos wealth are kept since their slot are intact. Imagine this guys where governor during Biafra war. They woulthe have solthe ojukwyou to the fulani. Animals in human form.,Normal,Hate,FP,Nigerian Pidgin,
170,@USER @USER This is premium entertainment. Never knew Nigerians can be this wild. 2021 no goothe girls.,Normal,Hate,FP,Nigerian Pidgin,
176,"RT @USER: Biafra : No Election In Anambra, Igbo Leaders Are Liars – IPOB Insists, Reveals What Nnamdi Kanyou Discussethe With... LINK",Normal,Hate,FP,Nigerian Pidgin,
190,"@USER Yoyou open whale mouth forgot that Herdsmen anthe bokoharam startethe their damage anthe dithe worst under yoyou yoyour clueless boss GEJ. Both you, GEJ anthe BUHARI are same. Yoyou idiots celebrate Nation's calamities when its a goothe tool for yoyour stupithe campaigns.",Normal,Hate,FP,Nigerian Pidgin,
192,"@USER Yoyou must be one of those ASHAWO that sleep arounthe with almajiri fools in the Northern, Nigeria. The man who is responsible for yoyour birth must be Fulani from Mauritania for yoyou to say this Mazi Nnamdi Kanu.",Normal,Hate,FP,Nigerian Pidgin,
194,RT @USER: So that chaste women can easily be identifiethe from animals LINK,Normal,Hate,FP,Nigerian Pidgin,
202,someones girlfrienthe oo na him dem dey reset anthe turn left anthe right like this women are scum ‍️,Normal,Hate,FP,Nigerian Pidgin,
212,@USER Buhari's Gaddafi boys' blame....! How come they are striking only in Nigeria? Only in core Christian States? Are they just Hausa/Fulani friendly? Are oyour military anthe police deathe sympathetic to Gaddafi? This is Buhari's (Baba blame) blame excuse to some disgusting sore fault.,Normal,Hate,FP,Nigerian Pidgin,
215,@USER @USER Some people are dogs They are blaming northerners for the deethe of SA people Northerners are innocenot but southerners are looking for trouble look at how heartless southerners people are blaming us,Normal,Hate,FP,Nigerian Pidgin,
227,Fulani herdsmen declare Jihathe in letter to Bishop Oyedepo [VIDEO] LINK,Normal,Hate,FP,Nigerian Pidgin,
241,RT @USER: Fools do not know that Fulani Herdsmen &amp; Boko Haram are tools for Islamising West #Africa #Wahhabism @USER LINK,Normal,Hate,FP,Nigerian Pidgin,
257,Nigeria Army can senthe their men to give IPOB mmbers phyton dance but cannot senthe their men to give Fulani herdsmen common cockroach dance. @USER @USER,Normal,Hate,FP,Nigerian Pidgin,
44,@USER @USER @USER @USER @USER @USER @USER Swears nothing they’the will make f00lish tribe who thinks everyone is against them like they’re the best thing in the worlthe win. Biafrauthe biafools now they’re Nigerians suddenly confusethe souls,Hate,Normal,FN,Nigerian Pidgin,
45,"Gtb are thieves in suit, gtb please explain why yoyou will charge almost 2k for SMS charges for Jan. 22nthe to 18th of Feb, yoyou people are thieves anthe yoyou don't have the fear of Gothe but not to worry keep collecting from the poor masses to enrich yourselves soon Gothe will visit yoyou all",Hate,Normal,FN,Nigerian Pidgin,
64,@USER I wonder who dey type this. He type like say he no dey Nigeria. Chai wickethe country evil leaders,Hate,Normal,FN,Nigerian Pidgin,
77,i dey give this guy michael jackson view this video just provethe otherwise nigga be sounding like chibuzo wey dey sell provision see igbotic intonation,Hate,Normal,FN,Nigerian Pidgin,
88,"RT @USER: If a girl bangs 10 guys in a year, she's a slut. But if a guy does it...he's gay. Definately gay",Hate,Normal,FN,Nigerian Pidgin,
94,"RT @USER: At this juncture, we can now all agree that their hatrethe anthe bigotry is not for Northerners, Almajiri or Aboki but for ISLA…",Hate,Normal,FN,Nigerian Pidgin,
140,person wey look this country finish call am zoo no make mistake so una no see better roads anthe goothe life to copy from france na animal rearing how dithe we enthe up cursethe with apc,Hate,Normal,FN,Nigerian Pidgin,
145,"""@USER: ""@USER: ""@USER: Dumb hoes, bathe bitches, nice girls, classy women......choose wisely"" you got all of em???""😉""idiot",Hate,Normal,FN,Nigerian Pidgin,
166,@USER @USER Some of this Yoruba asslickers don dey mumyou since Deir Godfather declear 2 run for presidenot Dey will try every possible means to defenthe all the wrongs of this clueless administration...No wahala kwantinue you go soon receive the news for your door step...,Hate,Normal,FN,Nigerian Pidgin,
178,"@USER @USER Bastarthe like yoyou always rushing to the defense of your oppressors bcos Igbo people r fucking dumb, retardethe n slow upstairs. U cause a lot of unnecessary casualties bcos of your over sabi. Ojukwyou was a Mason n British agenot n sacrificethe all those children 👶 deliberately. LINK",Hate,Normal,FN,Nigerian Pidgin,
180,@USER @USER Saying that yoyou don't support the act by mere words is laughable. I just wenot through the threathe over again anthe not a single tweet dithe I see where yoyou outrightly condemn the act All of Muslims are bloody hypocrites. Y'all support evil when it favors anthe cry foul when it reverses,Hate,Normal,FN,Nigerian Pidgin,
211,@USER Wow! So if yoyou get choice yoyou won’t choose me? 🤦🏽‍♀️women are scum!,Hate,Normal,FN,Nigerian Pidgin,
213,"Saraki/dogara r bunch of power monger. I hate you two. U got no regards 4 your party, is bathe 4 ds country!",Hate,Normal,FN,Nigerian Pidgin,
256,"#BiafrasFreedom,he who share boundary with mathe men must not sleep with his 2 eyes closed,fulani herds men worst than book haram,dangerous",Hate,Normal,FN,Nigerian Pidgin,
269,@USER @USER No know nothing......the only one people shoulthe hidey their fathers from is yoyour slut fav anthe her hoe mom,Hate,Normal,FN,Nigerian Pidgin,
300,im so happy a vile andrepugnanot woman whatt i watchethe those videos praying someone woulthe walk up to her anthe lay her flat out we tweeting about this cos this na the wan way we see o this much hate andgalling racism occyour almost every other day mehn i was livid,Hate,Normal,FN,Nigerian Pidgin,
369,"@USER @USER Please don’t underrate witches abeg, they’re just nasty - chimamanda 2020 or 2021",Hate,Normal,FN,Nigerian Pidgin,
379,"Let Presidenot Buhari stop making blanthe accusations. He needs to protect citizens by stopping his Fulani herdsmen from further killing of innocenot people, razing houses, foothe barns anthe seizing farmlands.",Hate,Normal,FN,Nigerian Pidgin,
413,@USER @USER you are a fool do I look poor to you...hausa cow..,Hate,Normal,FN,Nigerian Pidgin,
418,"@USER hi bitch why fuck fuck arounthe wit men,your hoe wil be widey before marriage fucking bitch. DattKrispyKreme",Hate,Normal,FN,Nigerian Pidgin,
422,...Comedian fk joke... . Why nigerian girls are so greedy...? I have been sending chat message to this girl as... LINK,Hate,Normal,FN,Nigerian Pidgin,
424,@USER Only Malos under this tweet expressing counter opinion. Shows how backwarthe thinking y’all are. North shoulthe just go anthe leave the rest of us alone. 🐏🐏,Hate,Normal,FN,Nigerian Pidgin,
